Age,Experience,Education_Level,Projects_Completed,Salary
22,0,12,1,25000
23,1,12,2,28000
24,1,12,3,30000
25,2,15,3,33000
26,2,15,4,35000
27,3,15,4,38000
28,4,15,5,42000
29,4,15,5,45000
30,5,16,6,48000
31,6,16,6,52000
32,6,16,7,55000
33,7,16,7,58000
34,8,16,8,62000
35,8,16,8,65000
36,9,18,9,69000
37,10,18,9,73000
38,10,18,10,76000
39,11,18,10,80000
40,12,18,11,85000
41,13,18,11,90000
42,14,18,12,94000
43,15,18,12,98000
44,16,18,13,103000
45,17,18,13,108000
46,18,18,14,113000
47,19,18,14,118000
48,20,18,15,123000
49,21,18,15,128000
50,22,18,16,133000
51,23,18,16,138000
